;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
665;(707, 100);(662, 168);(617, 168);(527, 236);(572, 303);(729, 168);(819, 168);(842, 101);(617, 371);(572, 528);(528, 641);(707, 371);(752, 506);(730, 641);(685, 78);(707, 78);(662, 100);(617, 191);(0, 0)
666;(707, 100);(662, 168);(595, 168);(527, 236);(550, 303);(729, 168);(819, 168);(842, 101);(617, 371);(572, 528);(528, 641);(707, 371);(751, 506);(730, 641);(685, 78);(707, 78);(662, 101);(617, 191);(0, 0)
667;(707, 100);(662, 168);(595, 168);(527, 236);(550, 303);(729, 168);(797, 168);(842, 101);(617, 371);(572, 528);(528, 641);(707, 371);(751, 506);(730, 641);(685, 78);(707, 78);(662, 101);(617, 191);(0, 0)
668;(707, 100);(662, 168);(595, 168);(527, 236);(550, 303);(729, 168);(797, 168);(842, 101);(617, 371);(572, 528);(528, 641);(707, 371);(751, 506);(730, 641);(685, 78);(707, 78);(662, 100);(617, 191);(0, 0)
669;(707, 100);(662, 168);(595, 168);(527, 236);(550, 303);(729, 169);(797, 168);(842, 101);(617, 371);(572, 528);(528, 641);(707, 371);(751, 506);(730, 641);(684, 78);(707, 78);(662, 100);(617, 191);(0, 0)
670;(707, 100);(662, 168);(595, 168);(527, 236);(550, 303);(729, 169);(797, 168);(841, 101);(617, 371);(572, 528);(528, 641);(707, 371);(751, 506);(730, 641);(684, 78);(707, 78);(661, 100);(707, 78);(0, 0)
671;(706, 100);(662, 168);(595, 168);(527, 236);(550, 303);(729, 169);(797, 168);(841, 101);(617, 371);(572, 528);(528, 641);(706, 371);(751, 506);(730, 641);(684, 78);(707, 78);(640, 101);(729, 78);(0, 0)
672;(706, 100);(662, 168);(595, 168);(527, 236);(550, 303);(729, 169);(797, 168);(841, 101);(617, 371);(572, 528);(528, 641);(706, 371);(751, 506);(730, 641);(684, 78);(707, 78);(640, 100);(729, 78);(0, 0)
673;(706, 100);(662, 168);(595, 168);(527, 235);(550, 303);(729, 169);(797, 168);(819, 123);(617, 371);(572, 528);(528, 641);(685, 371);(730, 506);(730, 641);(684, 78);(707, 78);(640, 100);(729, 78);(0, 0)
674;(685, 100);(662, 168);(595, 168);(527, 235);(550, 303);(729, 169);(797, 168);(819, 123);(617, 371);(572, 528);(528, 641);(685, 371);(730, 506);(730, 641);(684, 78);(707, 78);(640, 101);(729, 78);(0, 0)
675;(685, 100);(662, 168);(595, 168);(527, 235);(550, 303);(729, 168);(797, 168);(819, 123);(617, 371);(572, 528);(528, 641);(685, 371);(730, 506);(730, 641);(684, 78);(706, 78);(640, 101);(729, 78);(0, 0)
676;(685, 100);(662, 168);(595, 168);(527, 235);(550, 303);(729, 168);(797, 168);(819, 123);(617, 371);(572, 528);(528, 641);(685, 371);(730, 506);(730, 641);(684, 78);(706, 78);(640, 100);(729, 78);(0, 0)
677;(685, 100);(662, 168);(595, 168);(527, 235);(550, 303);(729, 168);(797, 168);(819, 123);(617, 371);(572, 528);(528, 641);(685, 371);(730, 506);(730, 641);(684, 78);(706, 78);(640, 100);(729, 78);(0, 0)
678;(685, 100);(662, 168);(595, 168);(527, 235);(550, 303);(729, 168);(797, 168);(819, 123);(617, 371);(572, 528);(528, 641);(685, 371);(730, 506);(730, 641);(684, 78);(685, 78);(640, 100);(729, 78);(0, 0)
679;(685, 100);(662, 168);(595, 168);(527, 235);(550, 303);(729, 168);(797, 168);(797, 123);(595, 371);(572, 528);(528, 641);(685, 371);(730, 506);(730, 641);(684, 78);(685, 78);(640, 100);(729, 78);(0, 0)
680;(684, 100);(662, 168);(595, 168);(527, 235);(550, 303);(729, 168);(797, 168);(797, 123);(595, 371);(572, 528);(528, 641);(685, 371);(730, 506);(751, 641);(662, 78);(685, 78);(639, 100);(707, 101);(0, 0)
681;(684, 100);(662, 168);(595, 168);(527, 236);(550, 303);(729, 168);(797, 169);(797, 123);(595, 371);(572, 528);(528, 641);(685, 371);(730, 506);(730, 641);(662, 78);(685, 78);(639, 100);(774, 123);(0, 0)
682;(684, 100);(662, 168);(595, 168);(527, 236);(550, 303);(707, 168);(797, 169);(797, 123);(595, 371);(572, 506);(528, 641);(685, 371);(730, 506);(751, 641);(662, 78);(685, 78);(639, 100);(706, 101);(0, 0)
683;(684, 100);(662, 168);(595, 168);(528, 236);(550, 303);(707, 168);(797, 190);(797, 123);(595, 371);(572, 506);(528, 641);(685, 371);(730, 506);(751, 641);(662, 78);(685, 78);(639, 100);(706, 101);(0, 0)
684;(684, 100);(662, 168);(595, 168);(528, 236);(550, 303);(707, 168);(796, 190);(796, 124);(595, 371);(572, 506);(528, 641);(684, 371);(729, 506);(751, 641);(662, 78);(685, 78);(639, 100);(685, 101);(0, 0)
